"SiteID","Latitude","Longitude","PhaseID","gaussianModelMu","gaussianModelSigma","aDNAID","aDNACitationID","DepositionType","RiteID","IndividualID","Dismembered","Head","BodyPositioning","BurialSide","BurialOrientationMin","BurialOrientationMax","GraveGoods","Ochre","CitationID","time_added","user_added","time_last_update","user_last_update"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00065","C00065","0","1","crouched","left/back","139",\N,\N,"1","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I16015","gelab2023a","inhumation","R00066","C00066","0","1","crouched","left","162",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I14177","gelab2023a","inhumation","R00067","C00067","0","1","crouched","left","168",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I17341","gelab2023a","inhumation","R00068","C00068",\N,\N,\N,\N,\N,\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00069","C00069","0","1","crouched","left/front","109",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I18105","gelab2023a","inhumation","R00070","C00070",\N,"1","crouched","front/left","45","135",\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I16010","gelab2023a","inhumation","R00071","C00071","0","1","crouched","right","169",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00072","C00072","0","1","crouched","left/back","169",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I14183","gelab2023a","inhumation","R00073","C00073","0","1","crouched","left","166",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I14181","gelab2023a","inhumation","R00074","C00074","0","1","crouched","left","90","180",\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00075","C00075","0","1","crouched","left","171",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I17343","gelab2023a","inhumation","R00076","C00076","0","1","crouched","left","143",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00077","C00077",\N,\N,\N,\N,"45","135",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00078","C00078",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"cremation","R00079","C00079",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00080","C00080",\N,\N,"crouched","right","45","135",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00081","C00081",\N,\N,"crouched",\N,"45","135",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00082","C00082",\N,"1","crouched",\N,"45","135",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00083","C00083",\N,"1","crouched","left","45","135",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"cremation","R00084","C00084",\N,\N,\N,\N,"45","135",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00085","C00085",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"cremation","R00086","C00086",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,\N,"R00087","C00087",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,\N,"R00088","C00088",\N,\N,"crouched","left","45","135",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"cremation","R00089","C00089",\N,\N,"inside a vessel",\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00090","C00090",\N,\N,\N,\N,"45","135",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00091","C00091",\N,\N,"scattered",\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,\N,"R00092","C00092",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00093","C00093",\N,\N,\N,\N,"90","180",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,\N,"R00094","C00094",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,\N,"R00095","C00095",\N,\N,"scattered",\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,\N,"R00096","C00096",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00097","C00097",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"cremation","R00098","C00098",\N,\N,"inside a vessel",\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"cremation","R00099","C00099",\N,\N,"scattered",\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00100","C00100",\N,"1","crouched","right","90","180",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00101","C00101",\N,\N,"crouched",\N,"45","135",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"cremation","R00102","C00102",\N,\N,"inside a vessel",\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,\N,"R00103","C00103",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,\N,"R00104","C00104",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00105","C00105",\N,\N,\N,\N,"90","180",\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00106","C00106",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"cremation","R00107","C00107",\N,\N,"scattered",\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"inhumation","R00108","C00108",\N,"1",\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"cenotaph","R00109","C00109",\N,\N,\N,\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10568","48.770","22.006","SEBA1","6200","236",\N,\N,"cremation","R00110","C00110",\N,\N,"scattered",\N,\N,\N,\N,"0","šiška1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
