IndividualID;Culture;Period
C04776;Baden;Eneolithic
C04777;Baden;Eneolithic
C04778;Baden;Eneolithic
C04779;Baden;Eneolithic
C04780;Baden;Eneolithic
C04781;Baden;Eneolithic
C04782;Baden;Eneolithic
C04783;Baden;Eneolithic
C04784;Baden;Eneolithic
C04785;Baden;Eneolithic
C04786;Baden;Eneolithic
C04787;Baden;Eneolithic
C04788;Baden;Eneolithic
C04789;Baden;Eneolithic
C04790;Baden;Eneolithic
C04791;Baden;Eneolithic
C04792;Baden;Eneolithic
C04793;Baden;Eneolithic
C04794;Baden;Eneolithic
C04795;Baden;Eneolithic
C04796;Baden;Eneolithic
C04797;Baden;Eneolithic
C04798;Baden;Eneolithic
C04799;Baden;Eneolithic
C04800;Baden;Eneolithic
C04801;Baden;Eneolithic
C04802;Baden;Eneolithic
C04803;Baden;Eneolithic
C04804;Baden;Eneolithic
C04805;Baden;Eneolithic
C04806;Baden;Eneolithic
C04807;Baden;Eneolithic
C04808;Baden;Eneolithic
C04809;Baden;Eneolithic
C04810;Baden;Eneolithic
C04811;Baden;Eneolithic
C04812;Baden;Eneolithic
C04813;Baden;Eneolithic
C04814;Baden;Eneolithic
C04815;Baden;Eneolithic
C04816;Baden;Eneolithic
C04817;Baden;Eneolithic
C04818;Baden;Eneolithic
C04819;Baden;Eneolithic
C04820;Baden;Eneolithic
C04821;Baden;Eneolithic
C04822;Baden;Eneolithic
C04823;Baden;Eneolithic
C04824;Baden;Eneolithic
C04825;Baden;Eneolithic
C04826;Baden;Eneolithic
C04827;Baden;Eneolithic
C04828;Baden;Eneolithic
C04829;Baden;Eneolithic
C04830;Baden;Eneolithic
C04831;Baden;Eneolithic
C04832;Baden;Eneolithic
C04833;Baden;Eneolithic
C04834;Baden;Eneolithic
C04835;Baden;Eneolithic
C04836;Baden;Eneolithic
C04837;Baden;Eneolithic
C04838;Baden;Eneolithic
C04839;Baden;Eneolithic
C04840;Baden;Eneolithic
C04841;Baden;Eneolithic
C04842;Baden;Eneolithic
C04843;Baden;Eneolithic
C04844;Baden;Eneolithic
C04845;Baden;Eneolithic
C04846;Baden;Eneolithic
C04847;Baden;Eneolithic
C04848;Baden;Eneolithic
C04849;Baden;Eneolithic
C04850;Baden;Eneolithic
C04851;Baden;Eneolithic
C04852;Baden;Eneolithic
C04853;Baden;Eneolithic
C04854;Baden;Eneolithic
C04855;Baden;Eneolithic
C04856;Baden;Eneolithic
C04857;Baden;Eneolithic
C04858;Baden;Eneolithic
C04859;Baden;Eneolithic
C04860;Baden;Eneolithic
C04861;Baden;Eneolithic
C04862;Baden;Eneolithic
C04863;Baden;Eneolithic
C04864;Baden;Eneolithic
C04865;Baden;Eneolithic
C04866;Baden;Eneolithic
C04867;Baden;Eneolithic
C04868;Baden;Eneolithic
C04869;Baden;Eneolithic
C04870;Baden;Eneolithic
C04871;Baden;Eneolithic
C04872;Baden;Eneolithic
C04873;Baden;Eneolithic
C04874;Baden;Eneolithic
C04875;Baden;Eneolithic
C04876;Baden;Eneolithic
C04877;Baden;Eneolithic
C04878;Baden;Eneolithic
C04879;Baden;Eneolithic
C04880;Baden;Eneolithic
C04881;Baden;Eneolithic
C04882;Baden;Eneolithic
C04883;Baden;Eneolithic
C04884;Baden;Eneolithic
C04885;Baden;Eneolithic
C04886;Baden;Eneolithic
C04887;Baden;Eneolithic
C04888;Baden;Eneolithic
C04889;Baden;Eneolithic
C04890;Baden;Eneolithic
C04891;Baden;Eneolithic
C04892;Baden;Eneolithic
C04893;Baden;Eneolithic
C04894;Baden;Eneolithic
C04895;Baden;Eneolithic
C04896;Baden;Eneolithic
C04897;Baden;Eneolithic
C04898;Baden;Eneolithic
C04899;Baden;Eneolithic
C04900;Baden;Eneolithic
C04901;Baden;Eneolithic
C04902;Baden;Eneolithic
C04903;Baden;Eneolithic
C04904;Baden;Eneolithic
C04905;Baden;Eneolithic
C04906;Baden;Eneolithic
C04907;Baden;Eneolithic
C04908;Baden;Eneolithic
C04909;Baden;Eneolithic
C04910;Baden;Eneolithic
C04911;Baden;Eneolithic
C04912;Baden;Eneolithic
C04913;Baden;Eneolithic
C04914;Baden;Eneolithic
C04915;Baden;Eneolithic
C04916;Baden;Eneolithic
C04917;Baden;Eneolithic
C04918;Baden;Eneolithic
C04919;Baden;Eneolithic
C04920;Baden;Eneolithic
C04921;Baden;Eneolithic
C04922;Baden;Eneolithic
C04923;Baden;Eneolithic
C04924;Baden;Eneolithic
C04925;Baden;Eneolithic
C04926;Baden;Eneolithic
C04927;Baden;Eneolithic
C04928;Baden;Eneolithic
C04929;Baden;Eneolithic
C04930;Baden;Eneolithic
C04931;Baden;Eneolithic
C04932;Baden;Eneolithic
C04933;Baden;Eneolithic
C04934;Baden;Eneolithic
C04935;Baden;Eneolithic
C04936;Baden;Eneolithic
C04937;Baden;Eneolithic
C04938;Baden;Eneolithic
C04939;Baden;Eneolithic
C04940;Baden;Eneolithic
C04941;Baden;Eneolithic
C04942;Baden;Eneolithic
C04943;Baden;Eneolithic
C04944;Baden;Eneolithic
C04945;Baden;Eneolithic
C04946;Baden;Eneolithic
C04947;Baden;Eneolithic
C04948;Baden;Eneolithic
C04949;Baden;Eneolithic
C04950;Baden;Eneolithic
C04951;Baden;Eneolithic
C04952;Baden;Eneolithic
C04953;Baden;Eneolithic
C04954;Baden;Eneolithic
C04955;Baden;Eneolithic
C04956;Baden;Eneolithic
C04957;Baden;Eneolithic
C04958;Baden;Eneolithic
C04959;Baden;Eneolithic
C04960;Baden;Eneolithic
C04961;Baden;Eneolithic
C04962;Baden;Eneolithic
C04963;Baden;Eneolithic
C04964;Baden;Eneolithic
C04965;Baden;Eneolithic
C04966;Baden;Eneolithic
C04967;Baden;Eneolithic
C04968;Baden;Eneolithic
C04969;Baden;Eneolithic
C04970;Baden;Eneolithic
C04971;Baden;Eneolithic
C04972;Baden;Eneolithic
C04973;Baden;Eneolithic
C04974;Baden;Eneolithic
C04975;Baden;Eneolithic
C04976;Baden;Eneolithic
C04977;Baden;Eneolithic
C04978;Baden;Eneolithic
C04979;Baden;Eneolithic
C04980;Baden;Eneolithic
C04981;Baden;Eneolithic
C04982;Baden;Eneolithic
C04983;Baden;Eneolithic
C04984;Baden;Eneolithic
C04985;Baden;Eneolithic
C04986;Baden;Eneolithic
C04987;Baden;Eneolithic
C04988;Baden;Eneolithic
C04989;Baden;Eneolithic
C04990;Baden;Eneolithic
C04991;Baden;Eneolithic
C04992;Baden;Eneolithic
C04993;Baden;Eneolithic
C04994;Baden;Eneolithic
C04995;Baden;Eneolithic
C04996;Baden;Eneolithic
C04997;Baden;Eneolithic
C04998;Baden;Eneolithic
C04999;Baden;Eneolithic
C05000;Baden;Eneolithic
C05001;Baden;Eneolithic
C05002;Baden;Eneolithic
C05003;Baden;Eneolithic
C05004;Baden;Eneolithic
C05005;Baden;Eneolithic
C05006;Baden;Eneolithic
C05007;Baden;Eneolithic
C05008;Baden;Eneolithic
C05009;Baden;Eneolithic
C05010;Baden;Eneolithic
C05011;Baden;Eneolithic
C05012;Baden;Eneolithic
C05013;Baden;Eneolithic
C05014;Baden;Eneolithic
C05015;Baden;Eneolithic
C05016;Baden;Eneolithic
C05017;Baden;Eneolithic
C05018;Baden;Eneolithic
C05019;Baden;Eneolithic
C05020;Baden;Eneolithic
C05021;Baden;Eneolithic
C05022;Baden;Eneolithic
C05023;Baden;Eneolithic
C05024;Baden;Eneolithic
C05025;Baden;Eneolithic
C05026;Baden;Eneolithic
C05027;Baden;Eneolithic
C05028;Baden;Eneolithic
C05029;Baden;Eneolithic
C05030;Baden;Eneolithic
C05031;Baden;Eneolithic
C05032;Baden;Eneolithic
C05033;Baden;Eneolithic
C05034;Baden;Eneolithic
C05035;Baden;Eneolithic
C05036;Baden;Eneolithic
C05037;Baden;Eneolithic
C05038;Baden;Eneolithic
C05039;Baden;Eneolithic
C05040;Baden;Eneolithic
C05041;Baden;Eneolithic
C05042;Baden;Eneolithic
C05043;Baden;Eneolithic
C05044;Baden;Eneolithic
C05045;Baden;Eneolithic
C05046;Baden;Eneolithic
C05047;Baden;Eneolithic
C05048;Baden;Eneolithic
C05049;Baden;Eneolithic
C05050;Baden;Eneolithic
C05051;Baden;Eneolithic
C05052;Baden;Eneolithic
C05053;Baden;Eneolithic
C05054;Baden;Eneolithic
C05055;Baden;Eneolithic
C05056;Baden;Eneolithic
C05057;Baden;Eneolithic
C05058;Baden;Eneolithic
C05059;Baden;Eneolithic
C05060;Baden;Eneolithic
C05061;Baden;Eneolithic
C05062;Baden;Eneolithic
C05063;Baden;Eneolithic
C05064;Baden;Eneolithic
C05065;Baden;Eneolithic
C05066;Baden;Eneolithic
C05067;Baden;Eneolithic
C05068;Baden;Eneolithic
C05069;Baden;Eneolithic
C05070;Baden;Eneolithic
C05071;Baden;Eneolithic
C05072;Baden;Eneolithic
C05073;Baden;Eneolithic
C05074;Baden;Eneolithic
C05075;Baden;Eneolithic
C05076;Baden;Eneolithic
C05077;Baden;Eneolithic
C05078;Baden;Eneolithic
C05079;Baden;Eneolithic
C05080;Baden;Eneolithic
C05081;Baden;Eneolithic
C05082;Baden;Eneolithic
C05083;Baden;Eneolithic
C05084;Baden;Eneolithic
C05085;Baden;Eneolithic
C05086;Baden;Eneolithic
C05087;Baden;Eneolithic
C05088;Baden;Eneolithic
C05089;Baden;Eneolithic
C05090;Baden;Eneolithic
C05091;Baden;Eneolithic
C05092;Baden;Eneolithic
C05093;Baden;Eneolithic
C05094;Baden;Eneolithic
C05095;Baden;Eneolithic
C05096;Baden;Eneolithic
C05097;Baden;Eneolithic
C05098;Baden;Eneolithic
C05099;Baden;Eneolithic
C05100;Baden;Eneolithic
C05101;Baden;Eneolithic
C05102;Baden;Eneolithic
C05103;Baden;Eneolithic
C05104;Baden;Eneolithic
C05105;Baden;Eneolithic
C05106;Baden;Eneolithic
C05107;Baden;Eneolithic
C05108;Baden;Eneolithic
C05109;Baden;Eneolithic
C05110;Baden;Eneolithic
C05111;Baden;Eneolithic
C05112;Baden;Eneolithic
C05113;Baden;Eneolithic
