Run,Performance,Model,Variable
86,0.696169088507266,Full model,Right
87,0.694848084544254,Full model,Right
88,0.723910171730515,Full model,Right
89,0.705416116248349,Full model,Right
90,0.723910171730515,Full model,Right
91,0.69220607661823,Full model,Right
92,0.701453104359313,Full model,Right
93,0.717305151915456,Full model,Right
94,0.690885072655218,Full model,Right
95,0.693527080581242,Full model,Right
96,0.718626155878468,Full model,Right
97,0.696169088507266,Full model,Right
98,0.702774108322325,Full model,Right
99,0.697490092470277,Full model,Right
100,0.689564068692206,Full model,Right
1,0.911492734478203,Full model,Back
2,0.899603698811097,Full model,Back
3,0.906208718626156,Full model,Back
4,0.920739762219287,Full model,Back
5,0.904887714663144,Full model,Back
6,0.912813738441215,Full model,Back
7,0.920739762219287,Full model,Back
8,0.904887714663144,Full model,Back
9,0.924702774108322,Full model,Back
10,0.911492734478203,Full model,Back
11,0.918097754293263,Full model,Back
12,0.906208718626156,Full model,Back
13,0.918097754293263,Full model,Back
14,0.915455746367239,Full model,Back
15,0.927344782034346,Full model,Back
16,0.914134742404227,Full model,Back
17,0.90885072655218,Full model,Back
18,0.916776750330251,Full model,Back
19,0.910171730515192,Full model,Back
20,0.903566710700132,Full model,Back
21,0.920739762219287,Full model,Back
22,0.912813738441215,Full model,Back
23,0.914134742404227,Full model,Back
24,0.912813738441215,Full model,Back
25,0.924702774108322,Full model,Back
26,0.919418758256275,Full model,Back
27,0.911492734478203,Full model,Back
28,0.912813738441215,Full model,Back
29,0.90224570673712,Full model,Back
30,0.904887714663144,Full model,Back
31,0.933949801849406,Full model,Back
32,0.914134742404227,Full model,Back
33,0.920739762219287,Full model,Back
34,0.916776750330251,Full model,Back
35,0.904887714663144,Full model,Back
36,0.90885072655218,Full model,Back
37,0.907529722589168,Full model,Back
38,0.920739762219287,Full model,Back
39,0.914134742404227,Full model,Back
40,0.891677675033025,Full model,Back
41,0.920739762219287,Full model,Back
42,0.914134742404227,Full model,Back
43,0.898282694848085,Full model,Back
44,0.916776750330251,Full model,Back
45,0.88110964332893,Full model,Back
46,0.910171730515192,Full model,Back
47,0.922060766182299,Full model,Back
48,0.915455746367239,Full model,Back
49,0.914134742404227,Full model,Back
50,0.911492734478203,Full model,Back
51,0.903566710700132,Full model,Back
52,0.927344782034346,Full model,Back
53,0.915455746367239,Full model,Back
54,0.915455746367239,Full model,Back
55,0.911492734478203,Full model,Back
56,0.919418758256275,Full model,Back
57,0.928665785997358,Full model,Back
58,0.919418758256275,Full model,Back
59,0.907529722589168,Full model,Back
60,0.914134742404227,Full model,Back
61,0.924702774108322,Full model,Back
62,0.915455746367239,Full model,Back
63,0.92338177014531,Full model,Back
64,0.920739762219287,Full model,Back
65,0.907529722589168,Full model,Back
66,0.919418758256275,Full model,Back
67,0.910171730515192,Full model,Back
68,0.910171730515192,Full model,Back
69,0.910171730515192,Full model,Back
70,0.911492734478203,Full model,Back
71,0.907529722589168,Full model,Back
72,0.910171730515192,Full model,Back
73,0.911492734478203,Full model,Back
74,0.924702774108322,Full model,Back
75,0.918097754293263,Full model,Back
76,0.892998678996037,Full model,Back
77,0.919418758256275,Full model,Back
78,0.924702774108322,Full model,Back
79,0.891677675033025,Full model,Back
80,0.910171730515192,Full model,Back
81,0.918097754293263,Full model,Back
82,0.924702774108322,Full model,Back
83,0.904887714663144,Full model,Back
84,0.904887714663144,Full model,Back
85,0.906208718626156,Full model,Back
86,0.911492734478203,Full model,Back
87,0.926023778071334,Full model,Back
88,0.915455746367239,Full model,Back
89,0.918097754293263,Full model,Back
90,0.916776750330251,Full model,Back
91,0.907529722589168,Full model,Back
92,0.90885072655218,Full model,Back
93,0.894319682959049,Full model,Back
94,0.912813738441215,Full model,Back
95,0.918097754293263,Full model,Back
96,0.90885072655218,Full model,Back
97,0.922060766182299,Full model,Back
98,0.914134742404227,Full model,Back
99,0.924702774108322,Full model,Back
100,0.898282694848085,Full model,Back
1,0.649933949801849,Best model,Left
2,0.680317040951123,Best model,Left
3,0.644649933949802,Best model,Left
4,0.69220607661823,Best model,Left
5,0.680317040951123,Best model,Left
6,0.681638044914135,Best model,Left
7,0.676354029062087,Best model,Left
8,0.68560105680317,Best model,Left
9,0.66446499339498,Best model,Left
10,0.66446499339498,Best model,Left
11,0.681638044914135,Best model,Left
12,0.684280052840158,Best model,Left
13,0.68560105680317,Best model,Left
14,0.677675033025099,Best model,Left
15,0.661822985468957,Best model,Left
16,0.675033025099075,Best model,Left
17,0.665785997357992,Best model,Left
18,0.652575957727873,Best model,Left
19,0.684280052840158,Best model,Left
20,0.651254953764861,Best model,Left
21,0.693527080581242,Best model,Left
22,0.68560105680317,Best model,Left
23,0.684280052840158,Best model,Left
24,0.680317040951123,Best model,Left
25,0.682959048877147,Best model,Left
26,0.66446499339498,Best model,Left
27,0.663143989431968,Best model,Left
28,0.682959048877147,Best model,Left
29,0.68560105680317,Best model,Left
30,0.688243064729194,Best model,Left
31,0.673712021136064,Best model,Left
32,0.659180977542933,Best model,Left
33,0.663143989431968,Best model,Left
34,0.661822985468957,Best model,Left
35,0.653896961690885,Best model,Left
36,0.68560105680317,Best model,Left
37,0.648612945838838,Best model,Left
38,0.698811096433289,Best model,Left
39,0.68560105680317,Best model,Left
40,0.684280052840158,Best model,Left
41,0.680317040951123,Best model,Left
42,0.682959048877147,Best model,Left
43,0.675033025099075,Best model,Left
44,0.677675033025099,Best model,Left
45,0.681638044914135,Best model,Left
46,0.680317040951123,Best model,Left
47,0.696169088507266,Best model,Left
48,0.675033025099075,Best model,Left
49,0.693527080581242,Best model,Left
50,0.689564068692206,Best model,Left
51,0.684280052840158,Best model,Left
52,0.66446499339498,Best model,Left
53,0.682959048877147,Best model,Left
54,0.669749009247028,Best model,Left
55,0.697490092470277,Best model,Left
56,0.702774108322325,Best model,Left
57,0.663143989431968,Best model,Left
58,0.657859973579921,Best model,Left
59,0.663143989431968,Best model,Left
60,0.657859973579921,Best model,Left
61,0.681638044914135,Best model,Left
62,0.686922060766182,Best model,Left
63,0.689564068692206,Best model,Left
64,0.667107001321004,Best model,Left
65,0.678996036988111,Best model,Left
66,0.675033025099075,Best model,Left
67,0.655217965653897,Best model,Left
68,0.684280052840158,Best model,Left
69,0.665785997357992,Best model,Left
70,0.672391017173052,Best model,Left
71,0.624834874504623,Best model,Left
72,0.680317040951123,Best model,Left
73,0.677675033025099,Best model,Left
74,0.696169088507266,Best model,Left
75,0.677675033025099,Best model,Left
76,0.653896961690885,Best model,Left
77,0.678996036988111,Best model,Left
78,0.682959048877147,Best model,Left
79,0.659180977542933,Best model,Left
80,0.689564068692206,Best model,Left
81,0.668428005284016,Best model,Left
82,0.673712021136064,Best model,Left
83,0.684280052840158,Best model,Left
84,0.677675033025099,Best model,Left
85,0.652575957727873,Best model,Left
86,0.682959048877147,Best model,Left
87,0.678996036988111,Best model,Left
88,0.668428005284016,Best model,Left
89,0.686922060766182,Best model,Left
90,0.68560105680317,Best model,Left
91,0.705416116248349,Best model,Left
92,0.672391017173052,Best model,Left
93,0.675033025099075,Best model,Left
94,0.684280052840158,Best model,Left
95,0.684280052840158,Best model,Left
96,0.701453104359313,Best model,Left
97,0.67107001321004,Best model,Left
98,0.694848084544254,Best model,Left
99,0.684280052840158,Best model,Left
100,0.682959048877147,Best model,Left
1,0.63672391017173,Best model,Right
2,0.708058124174373,Best model,Right
3,0.69220607661823,Best model,Right
4,0.709379128137385,Best model,Right
5,0.694848084544254,Best model,Right
6,0.626155878467635,Best model,Right
7,0.706737120211361,Best model,Right
8,0.64332892998679,Best model,Right
9,0.684280052840158,Best model,Right
10,0.721268163804492,Best model,Right
11,0.640686922060766,Best model,Right
12,0.704095112285337,Best model,Right
